label,eiaid,name,utility,basicinformationcomments
539f6a0aec4f024411ec8acb,5070,Residential Space Heating,Delaware Electric Cooperative,
539f6a0aec4f024411ec8acd,1891,Residential,Blue Ridge Mountain E M C (North Carolina),
539f6a0aec4f024411ec8ad1,3315,Rate Schedule D - Residential and Small Commercial,"Charles Mix Electric Assn, Inc",
539f6a0aec4f024411ec8ad3,4373,"Irrigation and Grain-Drying Service I-4 (15, 16)- Four Control Days - With No Capacitor",Cornhusker Public Power Dist,
539f6a0aec4f024411ec8adb,2600,Power Rate 2,"City of Burt, Iowa (Utility Company)",
539f6a0bec4f024411ec8b3b,20363,Residential Service,West Central Electric Coop Inc,
539f6a0bec4f024411ec8b41,9778,Residential and Farm Service(Flat Rate),Johnson County Rural E M C,
539f6a0bec4f024411ec8b43,16829,Residential,"City of Scottsboro, Alabama (Utility Company)",
539f6a22ec4f024411ec8b7f,8715,Residential,"Town of Holden, Massachusetts (Utility Company)",Subject to Power Cost Adjustments
539f6a23ec4f024411ec8b9b,7715,RESIDENTIAL FARM RATE SCHEDULE - F1,"Town of Groton, Massachusetts (Utility Company)",
539f6a23ec4f024411ec8bc1,15293,Residential,Powell Valley Electric Coop,"TVA's Fuel Cost may change monthly depending on TVA's cost of fuel.

Flat Rate Buy is equal to the sum of the Base Rate and the TVA Fuel Rate."
539f6a23ec4f024411ec8bd5,17715,Residential Central Cooling & Water Heating,Southwestern Electric Coop Inc (Texas),
539f6a23ec4f024411ec8be1,2212,Rate Code 80 Single-Phase,"Broad River Electric Coop, Inc (North Carolina)",
539f6a24ec4f024411ec8c13,1883,Residential Electric,"City of Blue Earth, Minnesota (Utility Company)",
539f6a33ec4f024411ec8c45,20315,Rural Residential- Single Phase,"City of Wellington, Kansas (Utility Company)",
539f6a34ec4f024411ec8c85,11053,Reasidential All Electric Time of Day,Linn County Rural E C A,
539f6a34ec4f024411ec8c99,4791,Residential All-Electric,"City of Danville, Iowa (Utility Company)",
539f6a34ec4f024411ec8c9f,13208,Residential,"City of Naperville, Illinois (Utility Company)",
539f6a34ec4f024411ec8ccb,14588,Schedule FM - Farm and Home Service,Pataula Electric Member Corp,
539f6a34ec4f024411ec8cd1,6793,Residential All Electric Rate #4,"City of Friend, Nebraska (Utility Company)",
539f6a34ec4f024411ec8cdb,17324,Residential- Single-Phase- Time-of-Day,Slinger Utilities,
55ba6c605457a3b94c995e96,20213,Rg-2 Residential Optional Time-of-Day Single Phase Service,Waupun Utilities,Commitment to Community Program Rider: 3.0% of the total electric bill not to exceed $1.00
539f6a34ec4f024411ec8ce9,6209,Residential,"Town of Farmville, North Carolina (Utility Company)",
539f6a34ec4f024411ec8ced,14645,Rural Residents and Farm,"City of Pella, Iowa (Utility Company)",
539f6a45ec4f024411ec8d05,6234,Residential Rates,"City of Fayetteville, Tennessee (Utility Company)",
559a9e785457a35027271883,19578,Residential Service A-1,Upper Peninsula Power Co,
5578a5895457a396438ba375,3459,Residential Rate,"City of Chewelah, Washington (Utility Company)",
539f6a46ec4f024411ec8d53,17697,"Farm, Residential and Public buildings With Street Lighting (RES03)",Southwestern Electric Coop Inc,
539f6a46ec4f024411ec8d6b,19150,Residential General Electric Service,Trenton Municipal Utilities,
539f6a46ec4f024411ec8d91,17320,Electric Heat,Sleepy Eye Public Utility Comm,
539f6a46ec4f024411ec8d99,13750,RATE R201 (Single Phase- Residential),"Northern Electric Coop, Inc",
539f6a46ec4f024411ec8d9d,8801,Residential all electric senior citizen (B-SC),"City of Hondo, Texas (Utility Company)",
559a9ef25457a33510271883,19578,Residential Service A-1 Seasonal,Upper Peninsula Power Co,
539f6a46ec4f024411ec8db1,17612,D Domestic Service Single Family Accomodation,Bear Valley Electric Service,
5cddc2195457a39f2840c5d2,6909,Electric - Regular Service,Gainesville Regional Utilities,
539f6a54ec4f024411ec8ddd,19159,Residential Single Phase,"Tri-County Electric Coop, Inc (Texas)",
539f6a55ec4f024411ec8e0d,13228,Residential Winter,"City of Natchitoches, Louisiana (Utility Company)",
539f6a55ec4f024411ec8e35,15865,Residential,"Village of Republic, Ohio (Utility Company)",
539f6a55ec4f024411ec8e3d,16680,Rg-1 Residential Service,"Village of Sauk City, Wisconsin (Utility Company)",
539f6a55ec4f024411ec8e57,17643,Residentail Rate,"Southern Iowa Elec Coop, Inc",
539f6a56ec4f024411ec8e83,5551,Rg-2 Residential Service Three Phase -  Optional Time-of-Day 9am-9pm,"City of Eagle River, Wisconsin (Utility Company)",
539f6a62ec4f024411ec8e8f,10585,RESIDENTIAL,"City of La Grange, Georgia (Utility Company)",
539f6a62ec4f024411ec8e95,2812,Residential Service,"City of Calhoun, Georgia (Utility Company)",
55e462985457a33c5f8e8004,12473,Residential Electric Elderly (R-10 & R-91),"Town of Middleborough, Massachusetts (Utility Company)",
539f6a63ec4f024411ec8ec7,12292,Electric Rate,"City of Meadville, Missouri (Utility Company)",
539f6a63ec4f024411ec8ecd,12377,Residential Time-of-Use,Midwest Energy Cooperative,
539f6a63ec4f024411ec8f0f,19160,Residential Single-Phase SPS,"Tri-County Electric Coop, Inc (Oklahoma)",
539f6a63ec4f024411ec8f11,15138,R-ETS - Residential ETS Service,"Platte-Clay Electric Coop, Inc",
539f6a64ec4f024411ec8f35,3282,General Service,"Central Texas Elec Coop, Inc",
5cbf67bf5457a3091767107f,14328,E-TOU Option A - Residential Time of Use Service Baseline Region Z,Pacific Gas & Electric Co,
539f6a64ec4f024411ec8f3b,8773,Unmetered Service,"Holy Cross Electric Assn, Inc",Monthly minimum charge = $4.66
539f6a64ec4f024411ec8f3d,8770,Residential Rate - Outside City Limits,"City of Holton, Kansas (Utility Company)",A power cost adjustment may apply
539f6a64ec4f024411ec8f3f,9928,Rate 17: Residential,"City of Julesburg, Colorado (Utility Company)",
539f6a64ec4f024411ec8f45,6784,Primary Residential Customer,French Broad Elec Member Corp (Tennessee),
539f6a70ec4f024411ec8f53,4147,RATE R-1 RESIDENTIAL TIME OF USE RATE (SINGLE PHASE),"Town of Concord, Massachusetts (Utility Company)",
539f6a70ec4f024411ec8f59,20189,Residential,"City of Waterville, Kansas (Utility Company)",
539f6a70ec4f024411ec8f5b,4329,Valdez Residential,"Copper Valley Elec Assn, Inc",
539f6a71ec4f024411ec8f6f,219,Schedule No. A-1 Residential (Chistochina/Mentasta/Slana),Alaska Power and Telephone Co,
55c27a9e5457a3ff0ae28f89,965,Rural Residential Supplemental Electric Heat (Single Phase),Atlantic Municipal Utilities,Fixed monthly charge= weighted average of the customer charges
539f6a71ec4f024411ec8f7b,17028,Residential,"City of Sheboygan Falls, Wisconsin (Utility Company)",
539f6a71ec4f024411ec8f89,11740,Rg-2 Residential Service Optional Time-of-Day Three Phase,"City of Marshfield, Wisconsin (Utility Company)",
539f6a71ec4f024411ec8fc5,15072,Residential- In,"Village of Pioneer, Ohio (Utility Company)",
539f6a72ec4f024411ec8fd7,1566,Residential Rate,"City of Bennettsville, South Carolina (Utility Company)",
539f6a72ec4f024411ec8fd9,13815,Rural Residential Service Optional Time-of-Day Fg-2 Option A w/ Parallel Generation ( < 20kW),Northwestern Wisconsin Elec Co,"This rate is subject to a Power Cost Adjustment Charge, which is determined by the amount of energy consumed during the previous month."
539f6a72ec4f024411ec8fdb,16164,Net Metering,Roosevelt Public Power Dist,
539f6a72ec4f024411ec8feb,1573,INTERRUPTIBLE RATE Residential Service with Controlled Water Heating Credit,"City of Benson, Minnesota (Utility Company)",
539f6a72ec4f024411ec9001,8319,Three - Phase - Residential and Farm (Rate B),Heartland Power Coop (Minnesota),
539f6a72ec4f024411ec900d,3722,Urban Single Phase,Clarke Electric Coop Inc,
539f6a7fec4f024411ec9015,10152,Residential with Electric Heating,"City of Kennett, Missouri (Utility Company)",
539f6a7fec4f024411ec9029,10586,In-Town Residential,"Town of La Grange, North Carolina (Utility Company)",
55c2741a5457a3ff0ae28f88,965,Supplemental Electric Heat Residential (Single Phase),Atlantic Municipal Utilities,Fixed monthly charge= weighted average of the customer charges
539f6a7fec4f024411ec9043,40289,Residential Service,Claverack Rural Elec Coop Inc,
539f6a7fec4f024411ec9065,7651,Residential - Single Phase,Greenwood Utilities Comm,
539f6a80ec4f024411ec9087,7129,Residential,"City of Georgetown, Texas (Utility Company)",
539f6a80ec4f024411ec90c1,1366,Residential Service,"City of Bay City, Michigan (Utility Company)",
5cdc8a655457a3e86a40c5d8,14610,Residential Electric Service,Orlando Utilities Comm,
539f6a80ec4f024411ec90d1,16565,Single Phase Master Metered (Non Demand) RV Parks (0-200),Salmon River Electric Coop Inc,
539f6a8eec4f024411ec90f9,14277,Residential,"Village of Oxford, Nebraska (Utility Company)",
539f6a8eec4f024411ec90fb,6779,Suburban Rate,"City of Fremont, Nebraska (Utility Company)",
539f6a8eec4f024411ec9119,14201,Rural Residential,"City of Osage, Iowa (Utility Company)",
539f6a8eec4f024411ec9123,12801,Residential Time-of-Use,"City of Monroe, North Carolina (Utility Company)",
539f6a8fec4f024411ec9169,19264,Residential Service,"City of Tulia, Texas (Utility Company)",
539f6a8fec4f024411ec916b,14435,Residential: Electric Cooking Range(Separate Meter),"Town of Paoli, Indiana (Utility Company)",
539f6a8fec4f024411ec9199,20480,Residential,"Village of Westfield, New York (Utility Company)",
539f6a9dec4f024411ec91b3,20880,Residential All Electric Service,"City of Wisner, Nebraska (Utility Company)",
539f6a9dec4f024411ec91d3,12395,Residential - East Bluffs Subdivision (Rate Code 13),Menard Electric Coop,The Cooperative may apply the Power Cost Adjustment to recover changes in wholesale power cost in accordance with Schedule PCA. All charges made under this schedule for electric energy are subject to the prevailing Illinois Public Utility Revenue Tax.
539f6a9dec4f024411ec91e1,17715,Residential Electric Space Heating,Southwestern Electric Coop Inc (New Mexico),
539f6a9eec4f024411ec91f5,9699,Residential Service,"Jemez Mountains Elec Coop, Inc",
55bf9a865457a31e19e28f88,16181,Residential Service - Dual Fuel Rate,Rochester Public Utilities,
5cdc7a015457a3b32240c5d4,1179,Rate A Residential Service,Bangor Hydro-Electric Co,
539f6a9eec4f024411ec9221,4373,"Irrigation and Grain-Drying Service I-N (09, 10)- No Control Days - With Capacitor",Cornhusker Public Power Dist,
539f6a9eec4f024411ec9237,7264,Schedule R- Residential,"Glades Electric Coop, Inc",
539f6a9eec4f024411ec923b,14401,Schedule E1 Residential Electric Service,"City of Palo Alto, California (Utility Company)",
561bdfd45457a3ce3ca98901,6149,E100 Residential,"City of Ellensburg, Washington (Utility Company)",
539f6aacec4f024411ec927f,9331,Residential Single-Phase (100 kW and Under),Intercounty Electric Coop Assn,
539f6aacec4f024411ec929f,8761,FARM & RESIDENTIAL,Holmes-Wayne Electric Coop Inc,
539f6aacec4f024411ec92ab,12692,Irrigation 5 HP to 10 HP,"Missoula Electric Coop, Inc",
539f6aacec4f024411ec92b7,23586,Residential,"Vigilante Electric Coop, Inc",
5cbf672b5457a30817671082,14328,E-TOU Option A - Residential Time of Use Service Baseline Region Y,Pacific Gas & Electric Co,
5cdc79995457a3b32240c5d3,1179,Rate A Residential Service,Bangor Hydro-Electric Co,
539f6aadec4f024411ec92d9,8770,Residential Rate - Outside City Limits(with Heat Discount),"City of Holton, Kansas (Utility Company)",A power cost adjustment may apply
539f6aadec4f024411ec92ef,17872,Residential - Outside City Limits,"City of St Francis, Kansas (Utility Company)",
559546905457a3f220ce826c,13550,Residential,"City of Newport, Tennessee (Utility Company)",Adj $/kWh - Fuel Cost Adjustment
539f6aadec4f024411ec9329,1050,Residential Service,"City of Azusa, California (Utility Company)",
539f6aadec4f024411ec932d,22646,Residential,"United Electric Coop, Inc",
539f6abbec4f024411ec9341,13481,Rg-1 Residential Service Single Phase,"City of New Richmond, Wisconsin (Utility Company)",
559441235457a3be34ce8273,405,Rural Residential,"City of Alta, Iowa (Utility Company)",
539f6abbec4f024411ec9349,13693,Residential TOD,"North Central Elec Coop, Inc",
