Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.688270695355,2.0251934933,0.0,1.64764827257,0.0,0.0457030548415,0.0457030548415,0.0457030548415,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395304937
 01/01  02:00:00,0.586865561899,2.31219134952,0.0,2.00804178753,0.0,0.0556997785677,0.0556997785677,0.0556997785677,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.553569242843,2.66875915197,0.0,2.38432425185,0.0,0.0661372356324,0.0661372356324,0.0661372356324,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.547083315878,2.91640427625,0.0,2.62684530267,0.0,0.0728643709503,0.0728643709503,0.0728643709503,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.551928488008,3.18441608488,0.0,2.83830066264,0.0,0.0787297950665,0.0787297950665,0.0787297950665,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.606291598243,3.51157619658,0.0,2.91457092102,0.0,0.0808454066687,0.0808454066687,0.0808454066687,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.805298160522,3.90692036785,0.0,2.8404303902,0.0,0.0787888702086,0.0787888702086,0.0787888702086,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.09443486406,3.66481467143,0.0,2.46472561141,0.0,0.0683674371908,0.0683674371908,0.0683674371908,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.03003299417,2.74382834868,0.0,1.57597439298,0.0,0.0437149392319,0.0437149392319,0.0437149392319,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.882655434387,1.81818839876,0.0,0.755415864241,0.0,0.0209539943969,0.0209539943969,0.0209539943969,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051684157
 01/01  11:00:00,0.88336383619,1.63126135701,0.0,0.69065689938,0.0,0.019157687156,0.019157687156,0.019157687156,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825347639
 01/01  12:00:00,0.882123097729,0.827661307559,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.804875218675
 01/01  13:00:00,0.862598905581,0.738433832638,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.716031582923
 01/01  14:00:00,0.835623927166,0.682853796667,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.659676889719
 01/01  15:00:00,0.831356818766,0.633568945054,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.609086984929
 01/01  16:00:00,0.891545084126,0.640031943129,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.614189098676
 01/01  17:00:00,1.11959307789,0.709609389534,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.679041833848
 01/01  18:00:00,1.53810911013,0.848146251246,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.811011556313
 01/01  19:00:00,1.81178851188,0.978189123771,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.937872053178
 01/01  20:00:00,1.76281772805,1.00617129902,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.964556154142
 01/01  21:00:00,1.63498306873,0.941402884976,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.898357066832
 01/01  22:00:00,1.49386947983,0.851353680321,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.809312822912
 01/01  23:00:00,1.21974396738,1.06164072148,0.0,0.354557345342,0.0,0.00983483797387,0.00983483797387,0.00983483797387,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670702401756
 01/01  24:00:00,0.951699625633,1.60263649311,0.0,1.05524473319,0.0,0.0292707543929,0.0292707543929,0.0292707543929,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.51577737013
 01/02  01:00:00,0.679916721988,1.94863624386,0.0,1.58346673739,0.0,0.0439227645507,0.0439227645507,0.0439227645507,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019590687
 01/02  02:00:00,0.58631821767,2.42825330443,0.0,2.13060419927,0.0,0.0590994584135,0.0590994584135,0.0590994584135,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920888
 01/02  03:00:00,0.556057080374,2.84780686741,0.0,2.5681518696,0.0,0.0712363115912,0.0712363115912,0.0712363115912,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
 01/02  04:00:00,0.554970156255,3.24482639512,0.0,2.96039947758,0.0,0.0821166154993,0.0821166154993,0.0821166154993,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
 01/02  05:00:00,0.550742960629,3.22748115218,0.0,2.89185928813,0.0,0.0802154233035,0.0802154233035,0.0802154233035,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.596060160357,3.26015389008,0.0,2.69340621972,0.0,0.0747106613831,0.0747106613831,0.0747106613831,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
 01/02  07:00:00,0.818427548305,4.6939037352,0.0,3.69682215847,0.0,0.102543770209,0.102543770209,0.102543770209,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.96797260989
 01/02  08:00:00,1.06873481726,3.41682049086,0.0,2.30110074379,0.0,0.0638287523134,0.0638287523134,0.0638287523134,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928889
 01/02  09:00:00,0.989262899326,2.35525797495,0.0,1.27556748119,0.0,0.035382145278,0.035382145278,0.035382145278,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057796
 01/02  10:00:00,0.830998243516,1.49813756683,0.0,0.516536085874,0.0,0.0143278619918,0.0143278619918,0.0143278619918,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345788011
 01/02  11:00:00,0.82070818547,1.13822412546,0.0,0.267437105668,0.0,0.00741826572485,0.00741826572485,0.00741826572485,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.848007909803
 01/02  12:00:00,0.82963433821,0.76909742966,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.746311340775
 01/02  13:00:00,0.81478839949,0.687768821724,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.665366572009
 01/02  14:00:00,0.792035894651,0.640794066822,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.617617159874
