,State,Locale,Load Level,File Dir
0,AK,Anchorage Intl AP,BASE,residential_load_data/BASE/USA_AK_Anchorage.Intl.AP.702730_TMY3_BASE.csv
1,AK,Fairbanks Intl AP,BASE,residential_load_data/BASE/USA_AK_Fairbanks.Intl.AP.702610_TMY3_BASE.csv
2,AL,Anniston Metro AP,BASE,residential_load_data/BASE/USA_AL_Anniston.Metro.AP.722287_TMY3_BASE.csv
3,AL,Auburn-Opelika AP,BASE,residential_load_data/BASE/USA_AL_Auburn-Opelika.AP.722284_TMY3_BASE.csv
4,AL,Birmingham Muni AP,BASE,residential_load_data/BASE/USA_AL_Birmingham.Muni.AP.722280_TMY3_BASE.csv
5,AL,Dothan Muni AP,BASE,residential_load_data/BASE/USA_AL_Dothan.Muni.AP.722268_TMY3_BASE.csv
6,AL,Fort Rucker-Cairns Field,BASE,residential_load_data/BASE/USA_AL_Fort.Rucker-Cairns.Field.722269_TMY3_BASE.csv
7,AL,Gadsen Muni AWOS,BASE,residential_load_data/BASE/USA_AL_Gadsen.Muni.AWOS.722285_TMY3_BASE.csv
8,AL,Huntsville Intl AP-Jones Field,BASE,residential_load_data/BASE/USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3_BASE.csv
9,AL,Maxwell AFB,BASE,residential_load_data/BASE/USA_AL_Maxwell.AFB.722265_TMY3_BASE.csv
10,AL,Mobile-Downtown AP,BASE,residential_load_data/BASE/USA_AL_Mobile-Downtown.AP.722235_TMY3_BASE.csv
11,AL,Mobile-Rgnl AP,BASE,residential_load_data/BASE/USA_AL_Mobile-Rgnl.AP.722230_TMY3_BASE.csv
12,AL,Montgomery-Dannelly Field,BASE,residential_load_data/BASE/USA_AL_Montgomery-Dannelly.Field.722260_TMY3_BASE.csv
13,AL,Muscle Shoals Rgnl AP,BASE,residential_load_data/BASE/USA_AL_Muscle.Shoals.Rgnl.AP.723235_TMY3_BASE.csv
14,AL,Troy Air Field,BASE,residential_load_data/BASE/USA_AL_Troy.Air.Field.722267_TMY3_BASE.csv
15,AL,Tuscaloosa Muni AP,BASE,residential_load_data/BASE/USA_AL_Tuscaloosa.Muni.AP.722286_TMY3_BASE.csv
16,AR,Batesville AWOS,BASE,residential_load_data/BASE/USA_AR_Batesville.AWOS.723448_TMY3_BASE.csv
17,AR,Bentonville AWOS,BASE,residential_load_data/BASE/USA_AR_Bentonville.AWOS.723444_TMY3_BASE.csv
18,AR,El Dorado-Goodwin Field,BASE,residential_load_data/BASE/USA_AR_El.Dorado-Goodwin.Field.723419_TMY3_BASE.csv
19,AR,Fayetteville-Drake Field,BASE,residential_load_data/BASE/USA_AR_Fayetteville-Drake.Field.723445_TMY3_BASE.csv
20,AR,Flippin AWOS,BASE,residential_load_data/BASE/USA_AR_Flippin.AWOS.723447_TMY3_BASE.csv
21,AR,Fort Smith Rgnl AP,BASE,residential_load_data/BASE/USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3_BASE.csv
22,AR,Harrison AP,BASE,residential_load_data/BASE/USA_AR_Harrison.AP.723446_TMY3_BASE.csv
23,AR,Hot Springs Mem AP,BASE,residential_load_data/BASE/USA_AR_Hot.Springs.Mem.AP.723415_TMY3_BASE.csv
24,AR,Jonesboro Muni AP,BASE,residential_load_data/BASE/USA_AR_Jonesboro.Muni.AP.723407_TMY3_BASE.csv
25,AR,Little Rock-Adams Field,BASE,residential_load_data/BASE/USA_AR_Little.Rock-Adams.Field.723403_TMY3_BASE.csv
26,AR,Little Rock AFB,BASE,residential_load_data/BASE/USA_AR_Little.Rock.AFB.723405_TMY3_BASE.csv
27,AR,Pine Bluff AP,BASE,residential_load_data/BASE/USA_AR_Pine.Bluff.AP.723417_TMY3_BASE.csv
28,AR,Rogers AWOS,BASE,residential_load_data/BASE/USA_AR_Rogers.AWOS.723449_TMY3_BASE.csv
29,AR,Siloam Spring AWOS,BASE,residential_load_data/BASE/USA_AR_Siloam.Spring.AWOS.723443_TMY3_BASE.csv
30,AR,Springdale Muni AP,BASE,residential_load_data/BASE/USA_AR_Springdale.Muni.AP.723434_TMY3_BASE.csv
31,AR,Stuttgart AWOS,BASE,residential_load_data/BASE/USA_AR_Stuttgart.AWOS.723416_TMY3_BASE.csv
32,AR,Texarkana-Webb Field,BASE,residential_load_data/BASE/USA_AR_Texarkana-Webb.Field.723418_TMY3_BASE.csv
33,AR,Walnut Ridge AWOS,BASE,residential_load_data/BASE/USA_AR_Walnut.Ridge.AWOS.723406_TMY3_BASE.csv
34,AZ,Casa Grande AWOS,BASE,residential_load_data/BASE/USA_AZ_Casa.Grande.AWOS.722748_TMY3_BASE.csv
35,AZ,Davis-Monthan AFB,BASE,residential_load_data/BASE/USA_AZ_Davis-Monthan.AFB.722745_TMY3_BASE.csv
36,AZ,Douglas-Bisbee Douglas Intl AP,BASE,residential_load_data/BASE/USA_AZ_Douglas-Bisbee.Douglas.Intl.AP.722735_TMY3_BASE.csv
37,AZ,Flagstaff-Pulliam AP,BASE,residential_load_data/BASE/USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3_BASE.csv
38,AZ,Grand Canyon National Park AP,BASE,residential_load_data/BASE/USA_AZ_Grand.Canyon.National.Park.AP.723783_TMY3_BASE.csv
39,AZ,Kingman AWOS,BASE,residential_load_data/BASE/USA_AZ_Kingman.AWOS.723700_TMY3_BASE.csv
40,AZ,Luke AFB,BASE,residential_load_data/BASE/USA_AZ_Luke.AFB.722785_TMY3_BASE.csv
41,AZ,Page Muni AWOS,BASE,residential_load_data/BASE/USA_AZ_Page.Muni.AWOS.723710_TMY3_BASE.csv
42,AZ,Phoenix-Deer Valley AP,BASE,residential_load_data/BASE/USA_AZ_Phoenix-Deer.Valley.AP.722784_TMY3_BASE.csv
43,AZ,Phoenix-Sky Harbor Intl AP,BASE,residential_load_data/BASE/USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3_BASE.csv
44,AZ,Prescott-Love Field,BASE,residential_load_data/BASE/USA_AZ_Prescott-Love.Field.723723_TMY3_BASE.csv
45,AZ,Safford AWOS,BASE,residential_load_data/BASE/USA_AZ_Safford.AWOS.722747_TMY3_BASE.csv
46,AZ,Scottsdale Muni AP,BASE,residential_load_data/BASE/USA_AZ_Scottsdale.Muni.AP.722789_TMY3_BASE.csv
